modules,__main__,pandas,pandas._config,pandas._libs,pandas._libs.hashtable,pandas._libs.lib,pandas._libs.tslib,pandas._version,pandas.api,pandas.arrays,pandas.compat,pandas.core,pandas.core.api,pandas.core.arrays,pandas.core.arrays.sparse,pandas.core.computation,pandas.core.computation.api,pandas.core.config_init,pandas.core.reshape,pandas.core.reshape.api,pandas.errors,pandas.io,pandas.io.api,pandas.io.json,pandas.io.json._normalize,pandas.plotting,pandas.testing,pandas.tseries,pandas.tseries.api,pandas.tseries.offsets,pandas.util,pandas.util._print_versions,pandas.util._tester
pandas.core.reshape.api,0.00035244827892446203,0.01903220706192095,0.0003590982464513387,0.0003590982464513387,0.0,0.0,0.0,0.0,0.0003590982464513387,0.00035922613044224016,0.0003590982464513387,0.0,0.0003860793556260609,0.0003660039819600183,0.0003660039819600183,0.0,0.0003524482789244621,0.0003725260654959933,0.0,0.0003524482789245553,0.0003723981815050919,0.00036600398196001823,0.0003660039819600183,0.0003660039819600183,0.00036574821397821524,0.0003590982464513387,0.00035244827892446203,0.00036587368506362807,0.0003658736850636282,0.0003590982464513386,0.0003590982464513387,0.0003590982464513387,0.00035909824645133864
pandas.errors,0.000352448278924462,0.019032207061920946,0.0003590982464513387,0.0003590982464513387,0.0,0.0,0.0,0.0,0.00035909824645133864,0.00035922613044224016,0.00035909824645133864,0.0,0.00038607935562606083,0.0003660039819600183,0.00036600398196001823,0.0,0.0003524482789244619,0.0003725260654959932,0.0,0.00035244827892446214,0.00037239818150514026,0.0003660039819600182,0.00036600398196001823,0.00036600398196001823,0.0003657482139782152,0.00035909824645133864,0.000352448278924462,0.000365873685063628,0.0003658736850636281,0.00035909824645133853,0.00035909824645133864,0.00035909824645133864,0.0003590982464513386
pandas.io,0.000386086504975657,0.02084867126868548,0.00039337115601293353,0.0003933711560129336,0.0,0.0,0.0,0.0,0.0003933711560129336,0.00039351124545595806,0.0003933711560129337,0.0,0.019297571259937946,0.0004009359859362593,0.00040093598593625933,0.0,0.000386086504975657,0.01928272442217438,0.0,0.00038608650497565705,0.00040794045808748665,0.01963170521670543,0.019631705216705483,0.019631705216705483,0.00040065580705021006,0.0003933711560129337,0.0003860865049756571,0.0004007932532961965,0.0004007932532961966,0.00039337115601293353,0.00039337115601293364,0.0003933711560129336,0.0003933711560129336
pandas.io.api,0.00035244827892446187,0.019032207061920943,0.00035909824645133864,0.00035909824645133864,0.0,0.0,0.0,0.0,0.0003590982464513386,0.00035922613044224016,0.00035909824645133864,0.0,0.00038607935562606083,0.00036600398196001823,0.00036600398196001823,0.0,0.0003524482789244619,0.0003725260654959932,0.0,0.0003524482789244621,0.00037239818150509185,0.00036600398196001823,0.0003660039819599614,0.00036600398196001823,0.0003657482139782152,0.0003590982464513387,0.00035244827892446203,0.00036587368506362807,0.0003658736850636282,0.00035909824645133853,0.00035909824645133864,0.00035909824645133864,0.0003590982464513386
pandas.io.json,0.00037303286501549183,0.02014377471083656,0.00038007122095918026,0.0003800712209591804,0.0,0.0,0.0,0.0,0.00038007122095918026,0.0003802065739580975,0.0003800712209591803,0.0,0.0007647535060258736,0.0003873802829007031,0.0003873802829007032,0.0,0.00037303286501549183,0.0007504086419708304,0.0,0.00037303286501549183,0.00039414793284655734,0.01961814951366993,0.019618149513669927,0.019618149513669803,0.00038710957690286886,0.0003800712209591804,0.0003730328650154918,0.00038724237607161763,0.00038724237607161774,0.0003800712209591803,0.0003800712209591804,0.00038007122095918026,0.00038007122095918026
pandas.io.json._normalize,0.00035244827892446187,0.019032207061920943,0.0003590982464513387,0.0003590982464513387,0.0,0.0,0.0,0.0,0.00035909824645133864,0.00035922613044224016,0.0003590982464513387,0.0,0.0003860793556260609,0.00036600398196001823,0.00036600398196001823,0.0,0.00035244827892446203,0.00037252606549599326,0.0,0.00035244827892446214,0.00037239818150509185,0.00036600398196001834,0.0003660039819600183,0.00036600398196001823,0.0003657482139782786,0.0003590982464513387,0.00035244827892446203,0.00036587368506362807,0.0003658736850636282,0.00035909824645133864,0.0003590982464513387,0.00035909824645133874,0.0003590982464513387
pandas.plotting,0.0003657482139782153,0.019750403554823628,0.0003726491236759174,0.00037264912367591756,0.0,0.0,0.0,0.0,0.0003726491236759175,0.00037278183347779647,0.00037264912367591756,0.0,0.0004006483879138368,0.00037981545297737743,0.00037981545297737743,0.0,0.0003657482139782152,0.01925450818117508,0.0,0.0003657482139782153,0.00038645094307132176,0.0003798154529773775,0.0003798154529773774,0.0003798154529773773,0.0003795500333736196,0.01924057365197762,0.0003657482139782153,0.0003796802392169725,0.00037968023921697254,0.0003726491236759175,0.00037264912367591745,0.00037264912367591756,0.00037264912367591756
pandas.testing,0.0003524482789244618,0.01903220706192094,0.00035909824645133864,0.0003590982464513386,0.0,0.0,0.0,0.0,0.0003590982464513385,0.0003592261304422401,0.00035909824645133864,0.0,0.0003860793556260608,0.0003660039819600182,0.00036600398196001823,0.0,0.000352448278924462,0.00037252606549599315,0.0,0.00035244827892446203,0.0003723981815050918,0.00036600398196001823,0.00036600398196001823,0.0003660039819600182,0.0003657482139782152,0.0003590982464513386,0.0003524482789243333,0.00036587368506362796,0.00036587368506362807,0.00035909824645133853,0.0003590982464513386,0.00035909824645133864,0.0003590982464513386
pandas.tseries,0.0003723981815050917,0.02010950180127495,0.0003794245622882068,0.00037942456228820683,0.0,0.0,0.0,0.0,0.0003794245622882066,0.0003795596849955744,0.0003794245622882067,0.0,0.019275857432359603,0.0003867211884860569,0.000386721188486057,0.0,0.0003723981815050918,0.0003936124465618041,0.0,0.00037239818150509185,0.0003934773238544366,0.000386721188486057,0.00038672118848605687,0.0003867211884860569,0.0003864509430713217,0.0003794245622882068,0.0003723981815050918,0.019254508044595164,0.019254508044595522,0.0003794245622882068,0.0003794245622882068,0.0003794245622882069,0.0003794245622882069
pandas.tseries.api,0.000352448278924462,0.019032207061920946,0.00035909824645133874,0.0003590982464513387,0.0,0.0,0.0,0.0,0.00035909824645133864,0.0003592261304422402,0.00035909824645133874,0.0,0.0003860793556260609,0.0003660039819600183,0.00036600398196001834,0.0,0.0003524482789244621,0.0003725260654959933,0.0,0.00035244827892446214,0.0003723981815050919,0.0003660039819600184,0.0003660039819600183,0.00036600398196001834,0.00036574821397821535,0.00035909824645133864,0.0003524482789244621,0.000365873685063628,0.0003658736850638,0.0003590982464513386,0.00035909824645133864,0.0003590982464513387,0.00035909824645133864
